numberOfFunction,slocP,program_length,gender,blankLine,loc,program_vocabulary,comments,continent,memory,cyclomatic_complexity,volume,effort,calculated_estimated_program_length,difficulty,time,lsloc
3,43,312,male,1,54,62,11,Western,9500 KB,14,1857.709249,59446.69596,307.2067179,32,1419 ms,42
2,44,301,male,0,51,63,7,Eastern,300600 KB,10,1799.161257,25188.2576,313.8551855,14,997 ms,44
3,41,246,male,0,47,39,6,Eastern,18900 KB,13,1300.208946,23403.76103,190.8721876,18,1075 ms,41
2,41,321,male,0,46,64,5,Eastern,11800 KB,15,1926,36594,322.2270913,19,592 ms,41
2,41,323,male,0,46,64,5,Eastern,11800 KB,15,1938,36822,322.2270913,19,623 ms,41
2,33,256,female,6,49,54,16,Eastern,29400 KB,6,1473.251201,44197.53602,257.2458179,30,4476 ms,27
3,46,316,male,0,52,66,6,Eastern,10900 KB,17,1910.028542,64940.97042,333.1049912,34,483 ms,46
2,33,287,male,0,39,65,6,Eastern,39100 KB,13,1728.419562,69136.78249,329.6987322,40,592 ms,33
1,25,261,male,0,29,53,4,Eastern,21100 KB,13,1494.987239,50829.56611,253.6843594,34,888 ms,25
2,32,234,female,0,39,59,7,Western,15700 KB,14,1376.538474,24777.69252,290.8572701,18,779 ms,32
2,34,322,male,0,42,70,8,Eastern,15400 KB,15,1973.629131,71050.64873,359.2147805,36,764 ms,34
2,35,326,male,0,42,66,7,Eastern,12300 KB,17,1970.472483,66996.06442,333.1049912,34,4383 ms,35
2,43,331,male,0,45,65,2,Eastern,10600 KB,16,1993.403746,101663.5911,326.5538222,51,748 ms,43
1,34,332,male,0,43,59,9,Eastern,12900 KB,10,1953.037492,82027.57468,288.1860234,42,1325 ms,34
2,51,273,male,0,58,63,7,Eastern,19600 KB,14,1631.797419,58744.70709,314.9612072,36,810 ms,51
2,40,268,male,2,52,52,12,Eastern,35200 KB,14,1527.717844,54997.8424,251.3531335,36,904 ms,38
2,31,259,male,0,43,68,12,Western,9500 KB,7,1576.652876,29956.40464,346.6279634,19,670 ms,31
2,28,376,male,0,35,92,7,Eastern,9400 KB,15,2452.859295,93208.65323,510.1851706,38,732 ms,28
1,38,328,male,0,42,74,4,Eastern,9500 KB,12,2036.700704,69247.82393,385.6555921,34,2121 ms,38
2,44,276,male,2,56,64,12,Eastern,24900 KB,12,1656,59616,321.1317371,36,888 ms,42
2,32,291,male,1,41,67,9,Eastern,10600 KB,15,1765.231954,67078.81427,340.7366244,38,1247 ms,31
2,41,301,male,0,53,70,12,Western,11800 KB,15,1844.914188,66416.91077,359.2147805,36,779 ms,41
