@relation balanceGender

@attribute time numeric
@attribute memory numeric
@attribute continent {Asia,'North America',Europe,Unknown,'South America',AsiaEurope,AsiaAfrica,Australia,Africa,'South Africa',Antarctica,Antarctic}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
46,8800,Asia,92,625,509.299989,4077.226223,48.461538,197588.6554,69,55,55,14,0,34,3,male
77,65200,Asia,70,536,359.214781,3285.295697,95.30303,313098.6354,80,71,68,9,3,32,3,female
202,68100,Asia,56,490,273.460397,2845.603912,44.789474,127453.1015,94,85,81,9,4,46,2,male
233,50700,Asia,81,509,433.250689,3226.983651,53.6,172966.3237,57,47,43,10,4,26,3,male
92,68000,Asia,62,447,310.172612,2661.525751,76.304348,203085.9866,89,60,37,29,23,34,3,male
93,53500,AsiaEurope,94,487,522.900197,3192.084771,56.942308,181764.6732,81,45,23,36,22,27,4,male
218,11700,AsiaEurope,60,483,295.185169,2853.028158,56.230769,160427.9679,88,83,83,5,0,33,4,male
62,52700,Asia,73,623,379.34213,3856.2607,55.275,213154.8102,77,65,63,12,2,40,3,male
93,67100,Asia,66,494,333.324018,2985.930695,75.6,225736.3605,88,62,54,26,8,27,2,male
61,36900,Unknown,73,623,379.34213,3856.2607,55.275,213154.8102,77,65,63,12,2,40,3,male
46,54800,Asia,81,586,432.608018,3715.152102,59.428571,220786.182,97,85,85,12,0,34,3,female
77,81800,Asia,56,420,271.763572,2439.089067,106.666667,260169.5005,66,55,51,11,4,26,2,male
108,85000,AsiaEurope,67,503,339.697386,3051.242863,54,164767.1146,79,65,60,14,5,33,2,male
156,104000,Europe,64,554,320.723238,3324,86.785714,288475.7143,67,63,61,4,2,28,1,male
62,44800,Asia,54,395,257.622011,2273.180563,47.173913,107234.8222,78,67,67,11,0,28,3,male
62,32200,Asia,87,462,474.942584,2976.639895,39.22,116743.8167,81,56,49,25,7,23,3,female
61,36900,AsiaEurope,68,390,345.947473,2374.110508,32,75971.53626,74,67,67,7,0,20,2,male
46,8200,'North America',76,489,398.994424,3055.236554,39.15,119612.5111,93,54,35,39,19,16,4,male
77,69100,Australia,64,455,320.723238,2730,71.357143,194805,66,53,48,13,5,33,2,male
93,9200,'South America',91,583,502.170816,3794.044275,65.882353,249960.564,79,61,51,18,10,28,4,male
109,81900,Asia,83,568,446.833624,3621.022397,56.304348,203879.3045,105,80,65,25,15,27,3,male
93,67700,Asia,66,489,333.324018,2955.708724,83.4,246506.1076,61,51,45,10,6,35,4,male
77,52500,Asia,73,534,378.867075,3305.366314,41.625,137585.8728,101,77,65,24,12,35,3,male
46,5500,AsiaAfrica,58,414,284.224796,2425.204132,72.818182,176598.9554,57,49,47,8,2,22,1,male
686,102100,Europe,62,590,307.906868,3512.975823,70,245908.3076,90,62,48,28,14,40,2,male
77,69100,Asia,71,504,365.723511,3099.472548,73.455882,227674.4909,78,54,45,24,9,31,3,male
124,87900,Europe,82,534,439.460071,3394.93277,47.162791,160114.5037,72,54,45,18,9,23,2,male
202,7800,Asia,58,552,283.012837,3233.605509,80.041667,258823.1743,76,61,51,15,10,34,2,male
265,71300,Asia,69,576,353.337404,3518.510087,37.7,132647.8303,83,69,69,14,0,28,4,female
62,68300,Asia,76,513,399.184538,3205.186814,38.414634,123126.0788,57,51,51,6,0,40,3,male
155,146100,Asia,0,0,0,0,0,0,63,52,47,11,5,36,3,female
62,39900,Asia,83,556,447.182976,3544.521924,54.765957,194119.1368,84,64,57,20,7,32,3,female
61,36900,Europe,89,571,489.17264,3697.643789,64.394231,238106.9275,78,49,34,29,15,26,2,male
109,100600,Africa,72,501,372.394982,3091.132426,68.176471,210742.4989,101,75,60,26,15,30,4,male
61,39800,Asia,75,464,392.942338,2890.171872,43.607143,126032.1377,67,57,55,10,2,28,3,male
436,68500,Asia,71,395,365.642206,2429.150112,42.685714,103690.0076,51,46,44,5,2,25,3,male
155,7900,Europe,73,603,378.867075,3732.464209,91.459459,341369.159,68,51,48,17,3,30,1,male
249,68100,Asia,62,529,307.206718,3149.769848,58.666667,184786.4978,89,81,81,8,0,36,2,male
78,39800,Asia,85,583,464.344011,3736.674916,68.314815,255270.2549,81,57,41,24,16,29,4,male
124,99200,Asia,44,487,214.93102,2658.743198,19,50516.12077,86,80,80,6,0,41,3,male
234,12800,Asia,81,549,432.75063,3480.577652,45.069767,156868.8253,89,73,72,16,1,34,3,male
156,5600,Asia,80,497,426.079159,3141.998263,60.432432,189878.5977,72,65,65,7,0,33,3,male
265,15500,Asia,69,614,352.498642,3750.634016,70,262544.3812,87,81,81,6,0,40,3,female
77,71300,Europe,56,588,271.081232,3414.724694,131.363636,448570.653,92,76,67,16,9,37,2,male
249,84600,Asia,64,567,320.723238,3402,75.857143,258066,70,63,62,7,1,42,2,male
592,83900,Asia,78,643,413.598395,4041.513627,49.866667,201536.8129,94,85,84,9,1,33,2,male
109,98900,Asia,85,632,460.827975,4050.735072,59.354167,240428.0046,83,63,59,20,4,36,2,female
452,83900,Asia,78,643,413.598395,4041.513627,49.866667,201536.8129,94,85,84,9,1,33,2,male
93,68000,Europe,70,562,359.421245,3444.657056,70.0625,241341.285,101,85,76,16,9,39,5,male
233,68000,Europe,55,454,263.619186,2624.73731,62,162733.7132,109,74,64,35,10,25,2,male
109,68100,Europe,63,475,314.961207,2839.207964,67.596154,191919.5383,79,58,49,21,9,29,3,male
265,107400,Europe,59,496,290.159225,2917.790952,86.086957,251183.7429,87,66,56,21,10,27,2,male
77,68100,Asia,46,423,217.578653,2336.466707,27.045455,63190.80413,100,81,72,19,9,22,2,male
187,106700,Asia,67,462,339.524906,2802.533206,52.5,147132.9933,66,54,49,12,5,36,2,male
61,47300,'South Africa',68,593,346.1173,3609.865465,43.3125,156352.2979,84,73,73,11,0,32,4,female
46,5500,Asia,73,469,378.867075,2903.027718,51.567568,149702.078,77,63,60,14,3,19,4,male
233,61200,Asia,71,484,365.642206,2976.477606,59.142857,176037.3898,65,47,36,18,11,32,2,male
46,9700,Asia,78,597,412.594632,3752.385125,39,146343.0199,91,80,80,11,0,34,2,female
77,48800,Asia,75,642,392.247987,3998.901599,76.375,305416.1096,84,78,78,6,0,39,2,male
93,60700,'North America',77,540,406.002237,3384.064732,67.5,228424.3694,76,53,49,23,4,29,2,male
217,33200,Europe,72,517,372.595692,3189.851226,71.076923,226724.8102,84,69,62,15,7,33,3,male
77,64600,Asia,68,530,346.627963,3226.355306,49.4,159381.9521,108,80,68,28,12,39,4,male
77,55500,AsiaEurope,80,425,425.898577,2686.81944,52.47619,140994.0487,79,57,45,22,12,24,2,male
93,52500,Asia,68,633,346.1173,3853.363979,82.222222,316832.1493,91,80,78,11,2,36,2,male
77,74900,Asia,81,631,433.250689,4000.445352,56.8,227225.296,86,73,73,13,0,41,4,male
62,5800,Europe,84,604,453.815451,3860.959723,83.053191,320665.0272,71,59,55,12,4,31,3,male
264,67100,Europe,52,397,244.645038,2263.074568,35.583333,80527.73671,78,74,73,4,1,31,2,male
187,36900,Asia,88,538,480.955324,3475.174211,50,173758.7105,75,64,63,11,1,37,2,male
78,37800,Asia,77,556,405.551932,3484.333317,79.410256,276691.8021,95,68,51,27,17,33,3,male
77,83800,Asia,65,601,326.465006,3619.443056,58.78125,212755.3871,102,95,94,7,1,35,2,male
77,50900,'North America',79,491,419.00781,3095.156347,51.794872,160313.2262,83,60,57,23,3,24,2,male
61,4600,AsiaEurope,66,502,334.512649,3034.285848,101.111111,306800.0135,94,62,52,32,10,23,5,male
46,1900,Asia,50,453,236.973737,2556.666854,57.375,146688.7607,119,110,106,9,4,36,1,male
109,83700,Asia,86,697,469.396602,4479.106534,84.673077,379259.7321,79,45,22,34,23,37,3,male
124,107100,Asia,42,315,204.359415,1698.579988,18.5,31423.72978,70,62,61,8,1,23,2,male
62,37900,Europe,88,524,481.251469,3384.742168,38.602041,130657.9553,93,65,56,28,9,19,3,male
218,6200,Asia,80,541,425.898577,3420.163099,46.595238,159363.3139,111,96,93,15,3,33,2,male
61,36900,Asia,81,686,433.250689,4349.137102,94.4,410558.5424,66,56,52,10,4,34,3,male
187,88400,AsiaAfrica,66,554,332.973737,3348.594342,44.705882,149701.8647,115,103,99,12,4,39,2,male
124,83900,Asia,65,467,326.731624,2812.445769,44.333333,124685.0957,92,87,84,5,3,24,3,male
62,29000,Asia,79,615,419.227106,3876.82516,50.654762,196379.6554,93,88,88,5,0,42,5,female
46,29000,Asia,79,615,419.227106,3876.82516,50.654762,196379.6554,93,88,88,5,0,42,5,female
202,13500,Asia,77,561,406.679997,3515.667249,55.875,196437.9076,95,81,75,14,6,32,3,male
171,37800,Asia,65,465,326.553822,2800.401033,48.258065,135141.9337,95,74,62,21,12,29,2,male
77,36800,Asia,78,561,412.298369,3526.110645,76.95,271334.2141,82,69,68,13,1,31,2,male
77,68100,Asia,68,524,346.1173,3189.830529,56.8125,181222.2469,67,59,56,8,3,34,2,male
92,71800,Asia,67,578,339.524906,3506.199552,59.0625,207084.911,82,62,60,20,2,37,3,male
93,99000,Asia,89,653,487.737832,4228.65393,65.770833,278122.0929,85,64,60,21,4,40,2,female
