time(ms),time,memory(KB),memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
686 ms,686,9400 KB,9400,Kyrgyzstan,Asia,60,250,296.7916995,1476.722649,25.73913043,38009.55688,32,27,27,5,0,14,2,male
561 ms,561,12800 KB,12800,Unknown,Unknown,79,345,419.4466845,2174.804358,51.48837209,111977.136,29,24,24,5,0,14,2,female
561 ms,561,12700 KB,12700,Unknown,Unknown,79,345,419.4466845,2174.804358,51.48837209,111977.136,29,24,24,5,0,14,2,female
779 ms,779,10600 KB,10600,Taiwan,Asia,64,277,320.7232379,1662,36,59832,44,33,28,11,5,14,2,male
1372 ms,1372,39100 KB,39100,China,Asia,63,269,316.1697866,1607.888299,44.6875,71852.50838,39,35,35,4,0,13,2,male
1419 ms,1419,9500 KB,9500,Finland,Europe,62,312,307.2067179,1857.709249,43.2,80253.03955,54,38,27,16,11,14,3,male
810 ms,810,19300 KB,19300,Georgia,AsiaEurope,62,255,309.4603455,1518.320059,19.79166667,30050.0845,39,36,36,3,0,14,1,male
997 ms,997,300600 KB,300600,China,Asia,63,301,313.8551855,1799.161257,27.29411765,49106.51901,51,44,44,7,0,10,2,male
1075 ms,1075,18900 KB,18900,India,Asia,39,246,190.8721876,1300.208946,18,23403.76103,47,40,37,7,3,13,3,male
4991 ms,4991,2600 KB,2600,Russia,AsiaEurope,66,289,333.1049912,1746.8299,32.77142857,57246.11131,36,29,29,7,0,11,2,male
592 ms,592,11800 KB,11800,China,Asia,64,321,322.2270913,1926,31.2,60091.2,46,41,41,5,0,15,2,male
623 ms,623,11800 KB,11800,China,Asia,64,323,322.2270913,1938,31.2,60465.6,46,41,41,5,0,15,2,male
4476 ms,4476,29400 KB,29400,India,Asia,54,256,257.2458179,1473.251201,36.25,53405.35602,49,32,22,17,10,6,2,female
483 ms,483,10900 KB,10900,China,Asia,66,316,333.1049912,1910.028542,49.11290323,93807.04693,52,46,46,6,0,17,3,male
592 ms,592,39100 KB,39100,China,Asia,65,287,329.6987322,1728.419562,46.97916667,81199.71069,39,33,33,6,0,13,2,male
872 ms,872,17600 KB,17600,Unknown,Unknown,67,295,339.6973857,1789.496311,37.16129032,66499.99195,44,36,35,8,1,14,2,male
888 ms,888,21100 KB,21100,Syria,Asia,53,261,253.6843594,1494.987239,38.47368421,57517.66692,29,25,25,4,0,13,1,male
701 ms,701,11800 KB,11800,Unknown,Unknown,65,291,327.8032081,1752.509034,42.92592593,75228.07296,56,47,46,9,1,14,2,male
779 ms,779,15700 KB,15700,Serbia,Europe,59,234,290.8572701,1376.538474,26.90909091,37041.39892,39,32,29,7,3,14,2,female
764 ms,764,15400 KB,15400,South Korea,Asia,70,322,359.2147805,1973.629131,42.60606061,84088.56239,42,34,30,8,4,15,2,male
4383 ms,4383,12300 KB,12300,South Korea,Asia,66,326,333.1049912,1970.472483,50.24193548,99000.35136,42,35,35,7,0,17,2,male
748 ms,748,10600 KB,10600,China,Asia,65,331,326.5538222,1993.403746,62.51612903,124619.8858,45,43,43,2,0,16,2,male
2573 ms,2573,65700 KB,65700,Russia,AsiaEurope,66,257,333.3240179,1553.409289,35.4,54990.68882,41,35,33,6,2,13,1,male
1325 ms,1325,12900 KB,12900,China,Asia,59,332,288.1860234,1953.037492,43.80645161,85555.64241,43,34,31,9,3,10,1,male
